Materials Name,Molecule Name,Can Pass SievingSieving Mechanism,Mechanism,Test Conditions,Threshold Pressure,,
MOF-5,methane,Yes,Size exclusion at sub-nanometer scale,Size exclusion,Not Reported,Not Applicable,
MOF-177,carbon dioxide,Yes,Not Reported,Equilibrium separation,"298 K, 1 bar",Not Applicable,
MOF-177,methane,No,Not Reported,Equilibrium separation,"298 K, 1 bar",Not Applicable,
MOF 2,carbon dioxide,Yes,Partitioning of large hexagonal channels into smaller segments with potential for enhanced molecular sieving.,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
MOF 2,acetylene,Yes,Partitioning of large hexagonal channels into smaller segments with potential for enhanced molecular sieving.,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
MOF 2,methane,No,Partitioning of large hexagonal channels into smaller segments with potential for enhanced molecular sieving.,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
Mn-dhbq,3-methylpentane,Temperature-dependent,Size exclusion at sub-nanometer scale,Kinetic sieving,Varies (303 K to 393 K),Increases with temperature,
Mn-dhbq,"2,3-dimethylbutane",No,Size exclusion at sub-nanometer scale,Size exclusion,Above 303 K,Not Applicable,
Mn(ina)2,ethane,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 100 kPa",Not Applicable,
Mn(ina)2,propane,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 100 kPa",Not Applicable,
Mn(ina)2,butane,Conditional (see Additional Info),Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 100 kPa",Very low pressure,
Mn(INA)2,carbon dioxide,Pressure-dependent,Size exclusion at sub-nanometer scale combined with gate-opening effect,Gate-opening effect requiring partial pressure > 0.8 bar,"298 K, 1 bar",0.8 bar,
Mn(INA)2,methane,No,Size exclusion at sub-nanometer scale combined with gate-opening effect,Size exclusion due to narrow bottleneck,"298 K, 1 bar",Not Applicable,
MOF-74-M,benzene,Yes,Size exclusion at sub-nanometer scale,Lewis base adduct formation with open metal sites,Not Reported,Not Applicable,
MOF-74-M,cyclohexane,No,Size exclusion at sub-nanometer scale,Size exclusion and weak interactions,Not Reported,Not Applicable,
M'MOF-3,acetylene,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 1 bar",Not Applicable,
M'MOF-3,ethylene,No,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 1 bar",Not Applicable,
Milli-Zn-ATA,propylene,Yes,Size exclusion at sub-nanometer scale,Kinetic sieving,"298 K, 1 bar",Not Applicable,
Milli-Zn-ATA,propane,No,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 1 bar",Not Applicable,
MIL-96,trans-piperylene,Yes,Size exclusion and packing effects,Efficient packing in the cages,"298 K, liquid phase",Not Applicable,
MIL-96,cis-piperylene,Yes,Size exclusion and packing effects,Less efficient packing compared to trans-piperylene,"298 K, liquid phase",Not Applicable,
MIL-96,isoprene,Yes,Size exclusion and packing effects,Steric constraints due to methyl side group,"298 K, liquid phase",Not Applicable,
MIL-91(Ti),carbon dioxide,Yes,Not Reported,Size exclusion,303 K,Not Applicable,
MIL-53(Cr),carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"300 K, 1 bar",Not Applicable,
MIL-53(Cr),methane,No,Size exclusion at sub-nanometer scale,Size exclusion,"300 K, 1 bar",Not Applicable,
MIL-53(Cr),carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, up to 25 bar",Not Applicable,
MIL-53(Cr),methane,No,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, up to 25 bar",Not Applicable,
MIL-53(Al,carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Chemisorption,"273.15 K, 1 bar",Not Applicable,
MIL-53(Al),carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Size exclusion,Not Reported,Not Applicable,
MIL-53(Al),methane,Yes,Size exclusion at sub-nanometer scale,Size exclusion,Not Reported,Not Applicable,
MIL-53(Al),carbon dioxide,Yes,Not Reported,Not Reported,"30 °C, atmospheric pressure",Not Applicable,
MIL-53(Al),benzene,Yes,Size exclusion at sub-nanometer scale,Reversed-phase mode,"ACN/H2O (60:40, v/v), 0.30 mL min�?, 40°C",Not Applicable,
MIL-53(Al),toluene,Yes,Size exclusion at sub-nanometer scale,Reversed-phase mode,"ACN/H2O (60:40, v/v), 0.30 mL min�?, 40°C",Not Applicable,
MIL-53(Al),ethylbenzene,Yes,Size exclusion at sub-nanometer scale,Reversed-phase mode,"ACN/H2O (60:40, v/v), 0.30 mL min�?, 40°C",Not Applicable,
MIL-53(Al),carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"303 K, up to 15 bar",Not Applicable,
MIL-53(Al),methane,Pressure-dependent,Size exclusion at sub-nanometer scale,Size exclusion,"303 K, up to 15 bar",5 bar at 400 MPa,
MIL-53(Al),ethylbenzene,No,Interaction-driven selectivity for ortho isomers,Size exclusion,Hexane solution,Not Applicable,
MIL-47,ethylbenzene,No,Molecular packing-driven selectivity,Size exclusion,Hexane solution,Not Applicable,
MIL-101(Cr),carbon dioxide,Yes,Size exclusion at sub-nanometer scale combined with electrostatic interaction,Electrostatic interaction and size exclusion,"25 °C, up to 35 bar",Not Applicable,
MIL-101(Cr),methane,No,Size exclusion at sub-nanometer scale combined with electrostatic interaction,Size exclusion,"25 °C, up to 35 bar",Not Applicable,
MIL-101,carbon dioxide,Yes,Not Reported,Adsorption,High-pressure conditions,Not Applicable,
MIL-101,ethylbenzene,Yes,Size exclusion at sub-nanometer scale,Host-guest interactions and open metal sites,Gas chromatography at 160°C,Not Applicable,
MIL-100(Fe),ammonia,Yes,Not Reported,Not Reported,"40% RH, 298 K, 500 ppm ammonia in nitrogen with 20% oxygen",Not Applicable,
Mg-MOF-74,carbon dioxide,Yes,Open metal sites enhance selective CO2 adsorption,Strong interactions with open Mg2+ sites,"298 K, 1 bar",Not Applicable,
Mg-MOF-74,methane,No,Open metal sites enhance selective CO2 adsorption,Size exclusion and weaker interactions,"298 K, 1 bar",Not Applicable,
"M-gallate (M= Ni, Mg, Co)",ethylene,Yes,Molecular cross-section size differentiation,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
"M-gallate (M= Ni, Mg, Co)",ethane,No,Molecular cross-section size differentiation,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
"M-gallate (M = Ni, Mg, Co)",ethylene,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 100 kPa",Not Applicable,
"M-gallate (M = Ni, Mg, Co)",ethane,No,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 100 kPa",Not Applicable,
"M-gallate (M = Ni, Mg, Co)",ethylene,Yes,Partial molecular sieving based on size differentiation,Partial sieving,"298 K, 1 bar",Not Applicable,
"M-gallate (M = Ni, Mg, Co)",ethane,No,Partial molecular sieving based on size differentiation,Partial sieving,"298 K, 1 bar",Not Applicable,
"M-gallate (M = Ni, Mg, Co)",ethylene,Yes,Exclusion of larger molecules,Kinetic sieving,"298 K, 1 bar",Not Applicable,
"M-gallate (M = Ni, Mg, Co)",ethane,No,Exclusion of larger molecules,Size exclusion,"298 K, 1 bar",Not Applicable,
Mg3(NDC)3(DEF)4,oxygen,Yes,Molecular sieving due to pore size reduction after activation.,Size-selective adsorption,77 K,Not Applicable,
MF-ZrBTB,carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Not Reported,"278-313 K, 0-20 bar",Not Applicable,
MF-ZrBTB,methane,Yes,Size exclusion at sub-nanometer scale,Not Reported,"278-308 K, 0-100 bar",Not Applicable,
MFU-4-F,carbon dioxide,Yes,Reversed selectivity due to equilibrium separation,Equilibrium separation,"300 K, 1 bar",Not Applicable,
MFU-4-F,acetylene,Yes,Reversed selectivity due to equilibrium separation,Equilibrium separation,"300 K, 1 bar",Not Applicable,
MFU-4,carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Kinetic sieving,"300 K, 1 bar",Not Applicable,
MFU-4,acetylene,No,Size exclusion at sub-nanometer scale,Kinetic sieving,"300 K, 1 bar",Not Applicable,
MFM-520,propylene,Yes,Not Reported,Kinetic driving separation,"Various temperatures, up to 318 K",Not Applicable,
MFM-520,propane,Yes,Not Reported,Kinetic driving separation,"Various temperatures, up to 318 K",Not Applicable,
MET-Fe,trans-2-butene,Yes,Thermodynamic and kinetic synergy,size exclusion and thermodynamic preference,298 K,Not Applicable,
MET-Fe,cis-2-butene,No,Thermodynamic and kinetic synergy,size exclusion,298 K,Not Applicable,
MECS-5,acetylene,Yes,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
MECS-5,ethylene,No,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
Manganese formate,carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"195 K, 1 atm",Not Applicable,
MAMS-4,oxygen,Temperature-dependent,Temperature-tuned gate opening controlled by van der Waals interactions of tert-butyl groups,Temperature-dependent molecular sieving via tert-butyl gating,87 K,Not Applicable,
MAMS-4,carbon monoxide,Temperature-dependent,Temperature-tuned gate opening controlled by van der Waals interactions of tert-butyl groups,Temperature-dependent molecular sieving via tert-butyl gating,113 K,Not Applicable,
MAMS-4,methane,Temperature-dependent,Temperature-tuned gate opening controlled by van der Waals interactions of tert-butyl groups,Temperature-dependent molecular sieving via tert-butyl gating,143 K,Not Applicable,
MAMS-4,ethylene,Temperature-dependent,Temperature-tuned gate opening controlled by van der Waals interactions of tert-butyl groups,Temperature-dependent molecular sieving via tert-butyl gating,195 K,Not Applicable,
MAMS-4,propylene,Temperature-dependent,Temperature-tuned gate opening controlled by van der Waals interactions of tert-butyl groups,Temperature-dependent molecular sieving via tert-butyl gating,231 K,Not Applicable,
MAMS-4,isobutane,No,Temperature-tuned gate opening controlled by van der Waals interactions of tert-butyl groups,Size exclusion due to channel size limit,231 K,Not Applicable,
MAMS-3,oxygen,Temperature-dependent,Temperature-tuned gate opening controlled by van der Waals interactions of tert-butyl groups,Temperature-dependent molecular sieving via tert-butyl gating,87 K,Not Applicable,
MAMS-3,carbon monoxide,Temperature-dependent,Temperature-tuned gate opening controlled by van der Waals interactions of tert-butyl groups,Temperature-dependent molecular sieving via tert-butyl gating,113 K,Not Applicable,
MAMS-3,methane,Temperature-dependent,Temperature-tuned gate opening controlled by van der Waals interactions of tert-butyl groups,Temperature-dependent molecular sieving via tert-butyl gating,143 K,Not Applicable,
MAMS-3,ethylene,Temperature-dependent,Temperature-tuned gate opening controlled by van der Waals interactions of tert-butyl groups,Temperature-dependent molecular sieving via tert-butyl gating,195 K,Not Applicable,
MAMS-3,propylene,Temperature-dependent,Temperature-tuned gate opening controlled by van der Waals interactions of tert-butyl groups,Temperature-dependent molecular sieving via tert-butyl gating,231 K,Not Applicable,
MAMS-3,isobutane,No,Temperature-tuned gate opening controlled by van der Waals interactions of tert-butyl groups,Size exclusion due to channel size limit,231 K,Not Applicable,
MAMS-2,oxygen,Temperature-dependent,Temperature-tuned gate opening controlled by van der Waals interactions of tert-butyl groups,Temperature-dependent molecular sieving via tert-butyl gating,87 K,Not Applicable,
MAMS-2,carbon monoxide,Temperature-dependent,Temperature-tuned gate opening controlled by van der Waals interactions of tert-butyl groups,Temperature-dependent molecular sieving via tert-butyl gating,113 K,Not Applicable,
MAMS-2,methane,Temperature-dependent,Temperature-tuned gate opening controlled by van der Waals interactions of tert-butyl groups,Temperature-dependent molecular sieving via tert-butyl gating,143 K,Not Applicable,
MAMS-2,ethylene,Temperature-dependent,Temperature-tuned gate opening controlled by van der Waals interactions of tert-butyl groups,Temperature-dependent molecular sieving via tert-butyl gating,195 K,Not Applicable,
MAMS-2,propylene,Temperature-dependent,Temperature-tuned gate opening controlled by van der Waals interactions of tert-butyl groups,Temperature-dependent molecular sieving via tert-butyl gating,231 K,Not Applicable,
MAMS-2,isobutane,No,Temperature-tuned gate opening controlled by van der Waals interactions of tert-butyl groups,Size exclusion due to channel size limit,231 K,Not Applicable,
MAF-92,carbon dioxide,Yes,Controlled gating energy provides definite molecular sieve effect.,Size exclusion,"298 K, 1 bar",Not Applicable,
MAF-92,methane,No,Controlled gating energy provides definite molecular sieve effect.,Size exclusion,"298 K, 1 bar",Not Applicable,
MAF-58,benzene,No,Selective guest-induced pore opening combined with guest-coordination gating,Size exclusion due to coordinated methanol blocking the aperture,"298 K, liquid phase",Not Applicable,
MAF-49,ethane,Yes,Preferential binding of ethane over ethylene,Kinetic sieving,316 K,Not Applicable,
MAF-49,ethylene,No,Preferential binding of ethane over ethylene,Size exclusion,316 K,Not Applicable,
MAF-44,isobutane,No,Molecular sieving via pore-opening flexibility,Size exclusion,Room temperature,Not Applicable,
MAF-42-sp,ethylene,Yes,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"298 K, up to 36 atm",16.6 atm,
MAF-42-sp,ethane,No,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"298 K, up to 36 atm",7.7 atm,
MAF-41·pX,styrene,Yes,Intermediate-sized molecular sieving,Intermediate-sized molecular sieving,Room temperature,Not Applicable,
MAF-41·pX,ethylbenzene,No,Intermediate-sized molecular sieving,Size exclusion,Room temperature,Not Applicable,
MAF-41·pX,toluene,No,Intermediate-sized molecular sieving,Size exclusion,Room temperature,Not Applicable,
MAF-41·pX,benzene,No,Intermediate-sized molecular sieving,Size exclusion,Room temperature,Not Applicable,
MAF-41,styrene,Yes,Intermediate-sized molecular sieving behavior,Size exclusion,298 K,Not Applicable,
MAF-41,ethylbenzene,No,Intermediate-sized molecular sieving behavior,Size exclusion,298 K,Not Applicable,
MAF-41,toluene,No,Intermediate-sized molecular sieving behavior,Thermodynamic effect,298 K,Not Applicable,
MAF-41,benzene,No,Intermediate-sized molecular sieving behavior,Thermodynamic effect,298 K,Not Applicable,
MAF-41,styrene,Yes,Size exclusion for ethylbenzene; molecular sieving for styrene,Size-compatible pore aperture,"298 K, 1 bar",Not Applicable,
MAF-41,ethylbenzene,No,Size exclusion for ethylbenzene; molecular sieving for styrene,Size exclusion,"298 K, 1 bar",Not Applicable,
MAF-41,styrene,Yes,Intermediate-sized molecular sieving (iSMS) combining kinetic and thermodynamic guest exclusion mechanisms.,Intermediate-sized molecular sieving (iSMS),"298 K, equimolar mixtures",Not Applicable,
MAF-41,ethylbenzene,No,Intermediate-sized molecular sieving (iSMS) combining kinetic and thermodynamic guest exclusion mechanisms.,Size exclusion (kinetic mechanism),"298 K, equimolar mixtures",Not Applicable,
MAF-41,toluene,No,Intermediate-sized molecular sieving (iSMS) combining kinetic and thermodynamic guest exclusion mechanisms.,Thermodynamic exclusion,"298 K, equimolar mixtures",Not Applicable,
MAF-41,benzene,No,Intermediate-sized molecular sieving (iSMS) combining kinetic and thermodynamic guest exclusion mechanisms.,Thermodynamic exclusion,"298 K, equimolar mixtures",Not Applicable,
MAF-23,carbon dioxide,Yes,Gating flexibility for molecular sieving,Adaptive flexibility,Room temperature,"Very low, undetectable",
MAF-23,methane,No,Gating flexibility for molecular sieving,Gating flexibility,Room temperature,Not Applicable,
KAUST-7(MeOH),propylene,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 1 bar",Not Applicable,
KAUST-7(MeOH),propane,No,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 1 bar",Not Applicable,
KAUST-7(EtOH),propylene,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 1 bar",Not Applicable,
KAUST-7(EtOH),propane,No,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 1 bar",Not Applicable,
KAUST-7,propylene,Yes,Size exclusion mechanism for propane; molecular sieving for propylene,Size-compatible pore aperture,"298 K, 1 bar",Not Applicable,
KAUST-7,propane,No,Size exclusion mechanism for propane; molecular sieving for propylene,Size exclusion due to unfavorable pore size,"298 K, 1 bar",Not Applicable,
KAUST-7,propylene,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 1 bar",Not Applicable,
KAUST-7,propane,No,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 1 bar",Not Applicable,
KAUST-7,propylene,Yes,Not Reported,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
KAUST-7,propane,No,Not Reported,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
KAUST-7,propylene,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 1 bar",Not Applicable,
KAUST-7,propane,No,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 1 bar",Not Applicable,
KAUST-7,propylene,Yes,Complete molecular exclusion,Kinetic sieving,298 K,Not Applicable,
KAUST-7,propane,No,Complete molecular exclusion,Size exclusion,298 K,Not Applicable,
kag-MOF-1,carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Kinetic sieving,"298 K, 1 bar",Not Applicable,
kag-MOF-1,methane,No,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 1 bar",Not Applicable,
kag-MOF-1,benzene,No,Size exclusion at sub-nanometer scale,Size exclusion,298 K,Not Applicable,
kag-MOF-1,toluene,No,Size exclusion at sub-nanometer scale,Size exclusion,Not Reported,Not Applicable,
kag-MOF-1,xylene,No,Size exclusion at sub-nanometer scale,Size exclusion,Not Reported,Not Applicable,
JXNU-4,propane,Yes,Size exclusion at sub-nanometer scale and charge-based selectivity,Size exclusion,"273 K, 1 atm",Not Applicable,
JXNU-4,ethane,Yes,Size exclusion at sub-nanometer scale and charge-based selectivity,Size exclusion,"273 K, 1 atm",Not Applicable,
JXNU-4,methane,No,Size exclusion at sub-nanometer scale and charge-based selectivity,Size exclusion,"273 K, 1 atm",Not Applicable,
JNU-80-NP,hexane,Conditional (see Additional Info),Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,298 K,Not Applicable,
JNU-80-NP,"2,2-dimethylbutane",No,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,298 K,Not Applicable,
JNU-80-NP,2-methylpentane,Yes,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,298 K,Not Applicable,
JNU-5-Me,acetylene,Yes,Gate-opening behavior exclusively toward acetylene,Gate-opening effect,"298 K, 1 bar",Temperature-dependent,
JNU-5-Me,carbon dioxide,No,Gate-opening behavior exclusively toward acetylene,Size exclusion,"298 K, 1 bar",Not Applicable,
JNU-5-Me,ethylene,No,Gate-opening behavior exclusively toward acetylene,Size exclusion,"298 K, 1 bar",Not Applicable,
JNU-5-Me,ethane,No,Gate-opening behavior exclusively toward acetylene,Size exclusion,"298 K, 1 bar",Not Applicable,
JNU-4,acetylene,Yes,Size exclusion at sub-nanometer scale,Kinetic sieving,"298 K, 1 bar",Not Applicable,
JNU-3a (Co(mptbdc)),propylene,Yes,Not Reported,Gate-opening separation,303 K,Not Applicable,
JNU-3a (Co(mptbdc)),propane,Yes,Not Reported,Gate-opening separation,303 K,Not Applicable,
JNU-3a,propylene,Yes,Orthogonal-array dynamic molecular sieving,Orthogonal-array dynamic molecular sieving,"303 K, variable pressure",Low pressure (gate-opening observed at substantially lower pressures than propane),
JNU-3a,propane,Conditional (see Additional Info),Orthogonal-array dynamic molecular sieving,Orthogonal-array dynamic molecular sieving,"303 K, variable pressure",High pressure (gate-opening observed at approximately five times higher pressure than propylene),
JNU-3a,propylene,Conditional (see Additional Info),Orthogonal-array dynamic molecular sieving,Kinetic sieving,303 K,0.52 bar,
JNU-3a,propane,No,Orthogonal-array dynamic molecular sieving,Size exclusion,303 K,Not Applicable,
JNU-3a,propylene,Yes,Temperature- and adsorbate-dependent gate-opening,Gate-opening adsorption,"303 K, varying pressures",Temperature-dependent,
JNU-3a,propane,Conditional (see Additional Info),Temperature- and adsorbate-dependent gate-opening,Gate-opening adsorption,"303 K, varying pressures",Temperature-dependent,
JNU-3,propylene,Yes,Not Reported,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
JNU-3,propane,No,Not Reported,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
JNU-2,ethane,Yes,Interaction-induced molecular sieving,Host-guest interaction,"298 K, 1 bar",Not Applicable,
JNU-2,ethylene,No,Interaction-induced molecular sieving,Host-guest interaction,"298 K, 1 bar",Not Applicable,
JNU-2,ethane,Yes,Preferential binding of ethane over ethylene,Kinetic sieving,"298 K, 1 bar",Not Applicable,
JNU-2,ethylene,No,Preferential binding of ethane over ethylene,Size exclusion,"298 K, 1 bar",Not Applicable,
JNU-1,acetylene,Yes,Induced-fit adsorption behavior,Kinetic sieving,Not Reported,Not Applicable,
JLU-Liu19,carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Size exclusion,273 K and 298 K under 1 bar,Not Applicable,
JLU-Liu18,carbon dioxide,Yes,Not Reported,Not Reported,273 K and 298 K under 1 bar,Not Applicable,
JLU-Liu18,methane,Yes,Not Reported,Not Reported,273 K and 298 K under 1 bar,Not Applicable,
JLU-Liu18,ethane,Yes,Not Reported,Not Reported,273 K and 298 K under 1 bar,Not Applicable,
JLU-Liu18,propane,Yes,Not Reported,Not Reported,273 K and 298 K under 1 bar,Not Applicable,
JLU-Liu18,oxygen,Yes,Not Reported,Not Reported,77 K,Not Applicable,
IRMOF-1,xenon,Yes,Not Reported,Diffusion selectivity,"298 K, 1 bar",Not Applicable,
IRMOF-1,krypton,Yes,Not Reported,Diffusion selectivity,"298 K, 1 bar",Not Applicable,
IRMOF-1,xenon,Not Reported,Size exclusion at sub-nanometer scale and steric hindrance for larger aromatics,Not Reported,Not Reported,Not Applicable,
IRMOF-1,oxygen,Not Reported,Size exclusion at sub-nanometer scale and steric hindrance for larger aromatics,Not Reported,Not Reported,Not Applicable,
IRMOF-1,carbon dioxide,Not Reported,Size exclusion at sub-nanometer scale and steric hindrance for larger aromatics,Not Reported,Not Reported,Not Applicable,
IRMOF-1,benzene,Yes,Size exclusion at sub-nanometer scale and steric hindrance for larger aromatics,Dispersive interactions dominate,"200 °C, IGC",Not Applicable,
IRMOF-1,toluene,Yes,Size exclusion at sub-nanometer scale and steric hindrance for larger aromatics,Dispersive interactions dominate,"200 °C, IGC",Not Applicable,
IRMOF-1,ethylbenzene,Yes,Size exclusion at sub-nanometer scale and steric hindrance for larger aromatics,Dispersive interactions dominate,"200 °C, IGC",Not Applicable,
IRMOF-1,methane,Yes,Size exclusion at sub-nanometer scale and steric hindrance for larger aromatics,Size exclusion at sub-nanometer scale,IGC setup dead volume determination,Not Applicable,
IPM-101,isobutane,No,Precise molecular sieving using tailored pore windows,size exclusion,"298 K, 1 bar",Not Applicable,
IPM-101,isobutane,No,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
InFFIVE-5-Zn-i,propylene,Yes,Not Reported,van der Waals interaction,"298 K, 100 kPa",Not Applicable,
InFFIVE-5-Zn-i,ethylene,Yes,Not Reported,van der Waals interaction,"298 K, 100 kPa",Not Applicable,
In(aip)2,carbon dioxide,Yes,Size exclusion at sub-nanometer scale with hydrogen bonding interactions,Size exclusion at sub-nanometer scale,"298 K, 101 kPa",Not Applicable,
In(aip)2,methane,No,Size exclusion at sub-nanometer scale with hydrogen bonding interactions,Size exclusion at sub-nanometer scale,"298 K, 101 kPa",Not Applicable,
In(aip)2,carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"0.15 bar, 298 K",Not Applicable,
In(aip)2,methane,No,Size exclusion at sub-nanometer scale,Size exclusion,"0.15 bar, 298 K",Not Applicable,
hww + N599 + N320 + E50 + E51,carbon dioxide,Yes,Enhanced binding through multiple node interactions,Multiple interactions with oxygen atoms of nodes,"298 K, 1 bar",Not Applicable,
HNUST-1,carbon dioxide,Yes,Not Reported,Chemical adsorption via open metal sites and ligand interaction,"273 K, 1 bar",Not Applicable,
Cu3(BTC)2,carbon dioxide,Yes,Strong electrostatic interactions with open metal sites,Strong electrostatic interactions with open Cu2+ sites,"298 K, 1 bar",Not Applicable,
Cu3(BTC)2,methane,No,Strong electrostatic interactions with open metal sites,Size exclusion due to smaller pore size compared to methane,"298 K, 1 bar",Not Applicable,
Cu3(BTC)2,xylene,Yes,Size exclusion at sub-nanometer scale,host-guest interaction,Not Reported,Not Applicable,
Cu3(BTC)2,2-methylpentane,Yes,Preferential adsorption in tetrahedral cavities,Preferential adsorption in tetrahedral cavities,"298 K, up to p/p0 �?1",Not Applicable,
HKUST-1,"2,2-dimethylbutane",Yes,Preferential adsorption in tetrahedral cavities,Preferential adsorption in tetrahedral cavities,"298 K, up to p/p0 �?1",Not Applicable,
Cu3(BTC)2,1-octene,Yes,Not Reported,Coordination bond with unsaturated metal center,398 K,Not Applicable,
hjm + N387 + E44,carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
HIAM-402,propane,Yes,Not Reported,Thermodynamic driving separation,"298 K, 1 bar",Not Applicable,
HIAM-402,propylene,Yes,Not Reported,Thermodynamic driving separation,"298 K, 1 bar",Not Applicable,
HIAM-301,propylene,Yes,Selective molecular sieving,Size exclusion,"298 K, 1 bar",Not Applicable,
HIAM-301,propane,No,Selective molecular sieving,Size exclusion,"298 K, 1 bar",Not Applicable,
HIAM-301,propylene,Yes,Molecular sieving via deformed pore structure,Molecular sieving,"298 K, 1 bar",Not Applicable,
HIAM-301,propane,No,Molecular sieving via deformed pore structure,Exclusion based on deformed pore structure,"298 K, 1 bar",Not Applicable,
HIAM-203,hexane,Yes,Selective size-exclusion separation mechanism,Selective molecular exclusion,"30 °C, 90 °C, 150 °C",Not Applicable,
HIAM-203,3-methylpentane,Conditional (see Additional Info),Selective size-exclusion separation mechanism,Selective molecular exclusion,"30 °C, 90 °C, 150 °C",Not Applicable,
HIAM-203,"2,2-dimethylbutane",No,Selective size-exclusion separation mechanism,Size exclusion,"30 °C, 90 °C, 150 °C",Not Applicable,
Hf-MOF,carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"273 K, 1 bar; 298 K, 1 bar",Not Applicable,
Hf-MOF,methane,No,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"273 K, 1 bar; 298 K, 1 bar",Not Applicable,
Hf-MOF,ethane,Conditional (see Additional Info),Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"273 K, 1 bar; 298 K, 1 bar",Not Applicable,
Hf-fum-FA,2-methylpentane,No,Size exclusion at sub-nanometer scale,Size exclusion,"303 K to 423 K, 10 kPa",Not Applicable,
Hf-fum-FA,3-methylpentane,No,Size exclusion at sub-nanometer scale,Size exclusion,"303 K to 423 K, 10 kPa",Not Applicable,
Hf-fum-FA,"2,3-dimethylbutane",No,Size exclusion at sub-nanometer scale,Size exclusion,"303 K to 423 K, 10 kPa",Not Applicable,
Hf-fum-FA,"2,2-dimethylbutane",No,Size exclusion at sub-nanometer scale,Size exclusion,"303 K to 423 K, 10 kPa",Not Applicable,
HAF-2,propylene,No,Not Reported,Complete pore blockage,"298 K, 1 bar",Not Applicable,
HAF-2,propane,No,Not Reported,Complete pore blockage,"298 K, 1 bar",Not Applicable,
HAF-1,propylene,Yes,Local shrinkage throat with hanging molecular pocket mode,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
HAF-1,propane,No,Local shrinkage throat with hanging molecular pocket mode,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
GeFSIX-dps-Zn,propyne,Yes,Slightly contracted pore aperture and interlayer space causing higher threshold pressure for alkynes,Gate-opening adsorption above threshold pressure,"298 K, up to 1 bar",0.13 bar,
