Materials Name,Molecule Name,Can Pass SievingPore Size,Structure Type,Material Category,Sieving Mechanism,Molecular Size,Mechanism,File Name,Test Conditions,Threshold Pressure,Additional Info,,,,,,,,,
IL-ZIF,nitrogen,No,"3.4 Å (PLD), Not Reported (LCD)",Core-shell structure with IL as outer shell,MOF composite,Outer IL shell selectively adsorbs CO2,0.364 nm,Size exclusion due to outer IL shell,10.1002-aic.17112_1747626228724964_10.1002@aic.17112.json,"298 K, 1 bar",Not Applicable,N2 uptake is very low.,,,,,,,,
IL@ZIF-8,carbon dioxide,Yes,0.59 nm (LPD),SOD cages,MOF composite,Confinement of [bmim][Tf2N] reduces effective cage size from 1.12 nm to 0.59 nm,0.33 nm,Enhanced CO2 solubility in confined [bmim][Tf2N],10.1002-anie.201505508_1747624179019635_ban2015.json,"298 K, up to 20 bar",Not Applicable,CO2 selectivity increases with pressure,,,,,,,,
IL@ZIF-8,nitrogen,No,0.59 nm (LPD),SOD cages,MOF composite,Confinement of [bmim][Tf2N] reduces effective cage size from 1.12 nm to 0.59 nm,0.364 nm,Size exclusion due to reduced effective cage size,10.1002-anie.201505508_1747624179019635_ban2015.json,"298 K, up to 20 bar",Not Applicable,Permeability remains constant or decreases slightly,,,,,,,,
IL@ZIF-8,methane,No,0.59 nm (LPD),SOD cages,MOF composite,Confinement of [bmim][Tf2N] reduces effective cage size from 1.12 nm to 0.59 nm,0.38 nm,Size exclusion due to reduced effective cage size,10.1002-anie.201505508_1747624179019635_ban2015.json,"298 K, up to 20 bar",Not Applicable,Permeability decreases compared to pure PSF membrane,,,,,,,,
IL@ZIF-8,carbon dioxide,Yes,0.59 nm (largest pore diameter after confinement),Not Reported,MOF membrane,Size exclusion at sub-nanometer scale,0.33 nm,Size exclusion at sub-nanometer scale,10.1016-j.inoche.2023.110722.json,Not Reported,Not Applicable,"IL@ZIF-8 effectively narrows the cut-off size, enhancing CO2/CH4 separation performance.",,,,,,,,
IL@ZIF-8,nitrogen,No,0.59 nm (largest pore diameter after confinement),Not Reported,MOF membrane,Size exclusion at sub-nanometer scale,0.364 nm,Size exclusion at sub-nanometer scale,10.1016-j.inoche.2023.110722.json,Not Reported,Not Applicable,"IL@ZIF-8 narrows the cut-off size effectively, improving selectivity.",,,,,,,,
IL@ZIF-8,methane,No,0.59 nm (largest pore diameter after confinement),Not Reported,MOF membrane,Size exclusion at sub-nanometer scale,0.38 nm,Size exclusion at sub-nanometer scale,10.1016-j.inoche.2023.110722.json,Not Reported,Not Applicable,"IL@ZIF-8 narrows the cut-off size effectively, improving selectivity.",,,,,,,,
IL@ZIF-8,carbon dioxide,Yes,"3.4 Å (crystallographically-determined), ~4.0 Å (effective aperture size)",3D cages,MOF composite,Reduction in effective aperture size of ZIF-8 due to the presence of [bmim][Tf2N].,3.3 Å,Size exclusion at sub-nanometer scale,10.1016-j.memsci.2016.03.050_1747625771869740_li2016.json,"25 °C, 1 bar",Not Applicable,Improved diffusivity and solubility coefficients for CO2 with increased IL@ZIF-8 loading.,,,,,,,,
IL@ZIF-8,nitrogen,No,"3.4 Å (crystallographically-determined), ~4.0 Å (effective aperture size)",3D cages,MOF composite,Reduction in effective aperture size of ZIF-8 due to the presence of [bmim][Tf2N].,3.64 Å,Size exclusion at sub-nanometer scale,10.1016-j.memsci.2016.03.050_1747625771869740_li2016.json,"25 °C, 1 bar",Not Applicable,Reduced permeability with increased IL@ZIF-8 loading.,,,,,,,,
IL@ZIF-8,methane,No,"3.4 Å (crystallographically-determined), ~4.0 Å (effective aperture size)",3D cages,MOF composite,Reduction in effective aperture size of ZIF-8 due to the presence of [bmim][Tf2N].,3.8 Å,Size exclusion at sub-nanometer scale,10.1016-j.memsci.2016.03.050_1747625771869740_li2016.json,"25 °C, 1 bar",Not Applicable,Reduced permeability with increased IL@ZIF-8 loading.,,,,,,,,
IL@ZIF-8,hydrogen,Yes,"3.4 Å (crystallographically-determined), ~4.0 Å (effective aperture size)",3D cages,MOF composite,Reduction in effective aperture size of ZIF-8 due to the presence of [bmim][Tf2N].,2.89 Å,Size exclusion at sub-nanometer scale,10.1016-j.memsci.2016.03.050_1747625771869740_li2016.json,"25 °C, 1 bar",Not Applicable,Enhanced permeability with increased IL@ZIF-8 loading.,,,,,,,,
IL@ZIF-8,carbon dioxide,Yes,"3.4 Å (narrowed after IL confinement), 4.0 Å (dilated at elevated temperature)",Nanocages,MOF composite,Size exclusion between CO2 and N2 by tuning the effective cage size with confined IL.,0.33 nm,Size exclusion at sub-nanometer scale,10.1016-j.memsci.2020.118101_1747625483075022_guo2020.json,"25 °C, feed pressure range of 3�? bar",Not Applicable,CO2 permeability decreases with increasing IL concentration.,,,,,,,,
IL@ZIF-8,nitrogen,No,"3.4 Å (narrowed after IL confinement), 4.0 Å (dilated at elevated temperature)",Nanocages,MOF composite,Size exclusion between CO2 and N2 by tuning the effective cage size with confined IL.,0.364 nm,Size exclusion at sub-nanometer scale,10.1016-j.memsci.2020.118101_1747625483075022_guo2020.json,"25 °C, feed pressure range of 3�? bar",Not Applicable,N2 molecules are cut off due to the narrowed effective cage size.,,,,,,,,
IL@ZIF-8,carbon dioxide,Yes,"3.4 Å (theoretical), reduced by IL incorporation",3D cages,MOF composite,Size exclusion at sub-nanometer scale with preferential adsorption,0.33 nm,Kinetic sieving,10.1016-j.seppur.2021.118722_1747625387044137_song2021.json,"Room temperature, various pressures",Not Applicable,Ionic liquids confined in ZIF-8 cavities enhance CO2 adsorption selectivity.,,,,,,,,
IL@ZIF-8,methane,Yes,"3.4 Å (theoretical), reduced by IL incorporation",3D cages,MOF composite,Size exclusion at sub-nanometer scale with preferential adsorption,0.38 nm,Kinetic sieving,10.1016-j.seppur.2021.118722_1747625387044137_song2021.json,"Room temperature, various pressures",Not Applicable,Ionic liquids confined in ZIF-8 cavities enhance CO2 adsorption selectivity.,,,,,,,,
IL@ZIF-8,nitrogen,Yes,"3.4 Å (theoretical), reduced by IL incorporation",3D cages,MOF composite,Size exclusion at sub-nanometer scale with preferential adsorption,0.364 nm,Kinetic sieving,10.1016-j.seppur.2021.118722_1747625387044137_song2021.json,"Room temperature, various pressures",Not Applicable,Ionic liquids confined in ZIF-8 cavities enhance CO2 adsorption selectivity.,,,,,,,,
IL@ZIF-8,carbon dioxide,Yes,Reduced effective cage size by IL confinement,SOD cage,MOF membrane,Continuous tuning of molecular sieving and adsorption behavior,0.33 nm,Size exclusion,10.1039-c7ta01142c_1747624171375442_kang2017.json,RT,Not Applicable,Enhanced adsorption selectivity due to IL incorporation.,,,,,,,,
IL@ZIF-8,nitrogen,No,Reduced effective cage size by IL confinement,SOD cage,MOF membrane,Continuous tuning of molecular sieving and adsorption behavior,0.364 nm,Size exclusion,10.1039-c7ta01142c_1747624171375442_kang2017.json,RT,Not Applicable,Enhanced diffusion selectivity due to IL incorporation.,,,,,,,,
IL@ZIF-8,methane,No,Reduced effective cage size by IL confinement,SOD cage,MOF membrane,Continuous tuning of molecular sieving and adsorption behavior,0.38 nm,Size exclusion,10.1039-c7ta01142c_1747624171375442_kang2017.json,RT,Not Applicable,Transcended the upper bound of polymer membranes for CO2/CH4 separation.,,,,,,,,
IFP-7,deuterium,Yes,Not Reported,Not Reported,MOFs,Kinetic quantum sieving based on de Broglie wavelength differences.,Not Reported,Quantum sieving,10.1002-cssc.202000562_1747626001082491_zeng2020.json,77 K,Not Applicable,Separation factor not explicitly stated.,,,,,,,,
IFP-4,deuterium,Yes,Not Reported,Not Reported,MOFs,Kinetic quantum sieving based on de Broglie wavelength differences.,Not Reported,Quantum sieving,10.1002-cssc.202000562_1747626001082491_zeng2020.json,77 K,Not Applicable,Separation factor not explicitly stated.,,,,,,,,
IFP-3,deuterium,Yes,Not Reported,Not Reported,MOFs,Kinetic quantum sieving based on de Broglie wavelength differences.,Not Reported,Quantum sieving,10.1002-cssc.202000562_1747626001082491_zeng2020.json,30 K,Not Applicable,Separation factor not explicitly stated.,,,,,,,,
IFP-1,deuterium,Yes,Not Reported,Not Reported,MOFs,Kinetic quantum sieving based on de Broglie wavelength differences.,Not Reported,Quantum sieving,10.1002-cssc.202000562_1747626001082491_zeng2020.json,30 K,Not Applicable,Separation factor not explicitly stated.,,,,,,,,
ICOF-101-Na,nitrogen,Temperature-dependent,2.9 Å to 4.0 Å (temperature-dependent),2D layered structure with ion-dipole interaction,Other,Thermoregulatory molecular sieving with sub-angstrom resolution (<0.2 Å),3.64 Å,Thermoregulatory molecular sieving,s40843-024-3065-4.json,25°C to 95°C,Not Applicable,Nitrogen can pass at elevated temperatures while methane is blocked.,,,,,,,,
ICOF-101-Na,methane,Temperature-dependent,2.9 Å to 4.0 Å (temperature-dependent),2D layered structure with ion-dipole interaction,Other,Thermoregulatory molecular sieving with sub-angstrom resolution (<0.2 Å),3.8 Å,Thermoregulatory molecular sieving,s40843-024-3065-4.json,25°C to 95°C,Not Applicable,Methane is blocked at higher temperatures due to pore shrinkage.,,,,,,,,
ICOF-101-Na,oxygen,Temperature-dependent,2.9 Å to 4.0 Å (temperature-dependent),2D layered structure with ion-dipole interaction,Other,Thermoregulatory molecular sieving with sub-angstrom resolution (<0.2 Å),3.46 Å,Thermoregulatory molecular sieving,s40843-024-3065-4.json,25°C to 95°C,Not Applicable,Oxygen separation from nitrogen was achieved with high selectivity (~20).,,,,,,,,
H-ZIF-8 colloidosomes,nitrogen-doped graphene quantum dots,No,2-10 nm,Not Reported,MOF composite,Size exclusion at sub-nanometer scale,15.9 nm,Size exclusion,10.1021-acsanm.2c00430.json,Not Reported,Not Applicable,Anchored on the outer surface due to molecular sieving property of the shell.,,,,,,,,
H-ZIF-8 colloidosomes,glucose oxidase,Yes,2-10 nm,Not Reported,MOF composite,Size exclusion at sub-nanometer scale,6.0 nm x 5.2 nm x 7.7 nm,Kinetic sieving,10.1021-acsanm.2c00430.json,Not Reported,Not Applicable,Encapsulated in the hollow cavity due to fitting within pore aperture.,,,,,,,,
H-ZIF-8 (Hollow ZIF-8),carbon dioxide,Yes,Not Reported,Not Reported,MOF composite,Hollow structure with dense outer shell,0.33 nm,Facilitated transport through hollow structures,10.1016-j.pmatsci.2018.11.002_1747626770311004_6cb6ed285e418aed00f9e69759cad797.json,35°C,Not Applicable,Higher CO2 concentration maintained near active sites,,,,,,,,
H-ZIF-8 (Hollow ZIF-8),methane,No,Not Reported,Not Reported,MOF composite,Hollow structure with dense outer shell,0.38 nm,Size exclusion at sub-nanometer scale,10.1016-j.pmatsci.2018.11.002_1747626770311004_6cb6ed285e418aed00f9e69759cad797.json,35°C,Not Applicable,Improved selectivity due to dense outer shell,,,,,,,,
HZIF-8,water,Yes,"3.4 Å (nominal diameter), 4.2 Å (gate-opening diameter)",Hollow nanospheres with microporous shell,MOF composite,Size exclusion at sub-nanometer scale,0.268 nm,Molecular sieving,10.1016-j.memsci.2018.03.024_1747626194349514_cheng2018.json,"76 °C, 90 wt% ethanol aqueous solution",Not Applicable,Water molecules pass through the micropores of HZIF-8 due to their smaller size compared to ethanol.,,,,,,,,
HZIF-8,ethanol,No,"3.4 Å (nominal diameter), 4.2 Å (gate-opening diameter)",Hollow nanospheres with microporous shell,MOF composite,Size exclusion at sub-nanometer scale,0.45 nm,Size exclusion,10.1016-j.memsci.2018.03.024_1747626194349514_cheng2018.json,"76 °C, 90 wt% ethanol aqueous solution",Not Applicable,Ethanol molecules are excluded due to their larger size compared to the pore aperture of HZIF-8.,,,,,,,,
Hybrid CMS (HCMS) membranes,carbon dioxide,Yes,3�? Å and 4�? Å (bimodal distribution),Densified and interconnected carbon structures with ultramicropores,MOF composite,Size exclusion at sub-nanometer scale,0.33 nm,Kinetic sieving,10.1002-smll.202104698.json,"2 bar, 35 °C",Not Applicable,Higher CO2 permeability compared to CMS membranes,,,,,,,,
Hybrid CMS (HCMS) membranes,methane,No,3�? Å and 4�? Å (bimodal distribution),Densified and interconnected carbon structures with ultramicropores,MOF composite,Size exclusion at sub-nanometer scale,0.38 nm,Size exclusion,10.1002-smll.202104698.json,"2 bar, 35 °C",Not Applicable,Improved CO2/CH4 selectivity due to narrow pore size distribution,,,,,,,,
Hybrid CMS (HCMS) membranes,propylene,Yes,3�? Å and 4�? Å (bimodal distribution),Densified and interconnected carbon structures with ultramicropores,MOF composite,Size exclusion at sub-nanometer scale,0.46 nm,Kinetic sieving,10.1002-smll.202104698.json,"2�? bar, 35�?0 °C",Not Applicable,Twofold higher C3H6 permeability and improved C3H6/C3H8 selectivity compared to CMS membranes,,,,,,,,
Hybrid CMS (HCMS) membranes,propane,No,3�? Å and 4�? Å (bimodal distribution),Densified and interconnected carbon structures with ultramicropores,MOF composite,Size exclusion at sub-nanometer scale,0.49 nm,Size exclusion,10.1002-smll.202104698.json,"2�? bar, 35�?0 °C",Not Applicable,Significantly improved C3H6/C3H8 separation performance,,,,,,,,
Hyb-PGO/ZIF-8,dispersal red,No,Not Reported,Not Reported,MOF composite,Size exclusion at sub-nanometer scale,0.3243 nm (estimated),Size exclusion,10.1021-acsami.4c13400.json,"7 bar, room temperature",Not Applicable,Rejection rate improved from 6.5% (pristine PGO) to 80% (Hyb-PGO/ZIF-8),,,,,,,,
Hyb-PGO/ZIF-8,protoporphyrin IX,No,Not Reported,Not Reported,MOF composite,Size exclusion at sub-nanometer scale,0.563 nm (estimated),Size exclusion,10.1021-acsami.4c13400.json,"7 bar, room temperature",Not Applicable,100% rejection achieved for this neutral dye,,,,,,,,
Hyb-PGO/ZIF-8,methylene blue,Yes,Not Reported,Not Reported,MOF composite,Size exclusion at sub-nanometer scale,Not Reported,Size exclusion,10.1021-acsami.4c13400.json,Not Reported,Not Applicable,MWCO improved from 570 g/mol (pristine PGO) to 320 g/mol (Hyb-PGO/ZIF-8),,,,,,,,
hww + N599 + N320 + E50 + E51,carbon dioxide,Yes,Not Reported,Not Reported,MOFs,Enhanced binding through multiple node interactions,0.33 nm,Multiple interactions with oxygen atoms of nodes,10.1021-acs.chemmater.4c01969.json,"298 K, 1 bar",Not Applicable,Strong adsorption due to multiple node interactions,,,,,,,,
hww + N599 + N320 + E50 + E51,nitrogen,No,Not Reported,Not Reported,MOFs,Enhanced binding through multiple node interactions,0.364 nm,Size exclusion and weak interaction,10.1021-acs.chemmater.4c01969.json,"298 K, 1 bar",Not Applicable,Negligible nitrogen adsorption,,,,,,,,
HSO3-UiO-66@PVC,lithium,Yes,0.60 nm (sulfonated),Not Reported,MOF composite,Size exclusion combined with chemical interaction,"0.076 nm (unhydrated), 0.38 nm (hydrated)",Size exclusion at sub-nanometer scale,10.1016-j.memsci.2019.117724_1747624785201821_10.1016@j.memsci.2019.117724.json,"1 mol L-1 LiCl, pH=6.87",Not Applicable,Diffusion coefficient: 2.0×10^-10 cm² s⁻�?,,,,,,,,
HSO3-UiO-66@PVC,magnesium,Conditional (see Additional Info),0.60 nm (sulfonated),Not Reported,MOF composite,Size exclusion combined with chemical interaction,"0.086 nm (unhydrated), 0.43 nm (hydrated)",Binding affinity with sulfonate groups,10.1016-j.memsci.2019.117724_1747624785201821_10.1016@j.memsci.2019.117724.json,"1 mol L-1 MgCl2, pH=6.87",Not Applicable,Diffusion coefficient: 4.67×10^-11 cm² s⁻�? Strong interaction between sulfonate groups and Mg2+ delays transfer.,,,,,,,,
H-SiO2,benzoic acid,Yes,Not Reported,zeolite-like eight-membered ring pores and interlayer spaces,Other,Size exclusion at sub-nanometer scale via flexible intralayer microchannels,Not Reported,exchange with acetonitrile in intralayer microchannels,10.1021-acsami.4c08841.json,"acetonitrile solution, room temperature",Not Applicable,Benzoic acid adsorption initiated by pre-adsorbed acetonitrile expanding the intralayer microchannels.,,,,,,,,
H-SiO2,phenol,Yes,Not Reported,zeolite-like eight-membered ring pores and interlayer spaces,Other,Size exclusion at sub-nanometer scale via flexible intralayer microchannels,Not Reported,"adsorption in interlayer space in water, intralayer microchannels in acetonitrile",10.1021-acsami.4c08841.json,"acetonitrile or water, room temperature",Not Applicable,"Phenol adsorption depends on the solvent: hydrophobic interaction in acetonitrile, hydrophilic interaction in water.",,,,,,,,
H-SiO2,acetonitrile,Yes,Not Reported,zeolite-like eight-membered ring pores and interlayer spaces,Other,Size exclusion at sub-nanometer scale via flexible intralayer microchannels,Not Reported,accommodation in intralayer microchannels via hydrophobic interactions,10.1021-acsami.4c08841.json,"vapor phase and liquid phase, room temperature",Not Applicable,"Acetonitrile pre-adsorption expands intralayer microchannels, enabling further adsorption of benzoic acid or phenol.",,,,,,,,
HS-1,carbon dioxide,Yes,Not Reported,Not Reported,MOF composite,Not Reported,3.3 Å,Chemical adsorption via open metal sites,10.1021-acssuschemeng.0c05155_1747625285029910_10.1021@acssuschemeng.0c05155.json,"298 K, 1 bar",Not Applicable,Hybrid structure increases CO2 uptake significantly.,,,,,,,,
H-pore-21,3-Chloropropene,Yes,Not Reported,2D monolayer with nanopores,Other,Size exclusion at sub-nanometer scale combined with conformational preferences.,Not Reported,Conformation-induced sieving,10.1039-c9cp00137a_1747626536305856_10.1039@C9CP00137A.json,"350 K, pressure difference between chambers",Not Applicable,Lower energy penalty to twist to the cis-conformation preferred by the pore.,,,,,,,,
H-pore-21,1-Chloropropane,No,Not Reported,2D monolayer with nanopores,Other,Size exclusion at sub-nanometer scale combined with conformational preferences.,Not Reported,Conformation-induced sieving,10.1039-c9cp00137a_1747626536305856_10.1039@C9CP00137A.json,"350 K, pressure difference between chambers",Not Applicable,Higher energy penalty to twist to the cis-conformation preferred by the pore.,,,,,,,,
H-pore-18,3-Chloropropene,Yes,Not Reported,2D monolayer with nanopores,Other,Size exclusion at sub-nanometer scale combined with conformational preferences.,Not Reported,Conformation-induced sieving,10.1039-c9cp00137a_1747626536305856_10.1039@C9CP00137A.json,"350 K, pressure difference between chambers",Not Applicable,Lower energy penalty to twist to the cis-conformation preferred by the pore.,,,,,,,,
H-pore-18,1-Chloropropane,No,Not Reported,2D monolayer with nanopores,Other,Size exclusion at sub-nanometer scale combined with conformational preferences.,Not Reported,Conformation-induced sieving,10.1039-c9cp00137a_1747626536305856_10.1039@C9CP00137A.json,"350 K, pressure difference between chambers",Not Applicable,Higher energy penalty to twist to the cis-conformation preferred by the pore.,,,,,,,,
H-pore-16,3-Chloropropene,Yes,Not Reported,2D monolayer with nanopores,Other,Size exclusion at sub-nanometer scale combined with conformational preferences.,Not Reported,Conformation-induced sieving,10.1039-c9cp00137a_1747626536305856_10.1039@C9CP00137A.json,"350 K, pressure difference between chambers",Not Applicable,Lower energy penalty to twist to the cis-conformation preferred by the pore.,,,,,,,,
H-pore-16,1-Chloropropane,No,Not Reported,2D monolayer with nanopores,Other,Size exclusion at sub-nanometer scale combined with conformational preferences.,Not Reported,Conformation-induced sieving,10.1039-c9cp00137a_1747626536305856_10.1039@C9CP00137A.json,"350 K, pressure difference between chambers",Not Applicable,Higher energy penalty to twist to the cis-conformation preferred by the pore.,,,,,,,,
HP-MOF-Arg@mSiO2,glycopeptides,Yes,"1.5 nm (micropores), 3.7 nm (mesopores)",Hierarchical porous structure,MOF composite,Size exclusion at sub-nanometer scale via a hierarchical porous structure composed of microporous UiO-66-NH2 and mesoporous SiO2 shell.,Not Reported,Size exclusion at mesoporous channels,10.1016_j.talanta.2021.123193.json,"Acidic aqueous solution, 37 °C",Not Applicable,The material's hierarchical pore structure allows small glycopeptides to pass through while excluding larger proteins.,,,,,,,,
HP-MOF-Arg@mSiO2,bovine serum albumin (BSA),No,"1.5 nm (micropores), 3.7 nm (mesopores)",Hierarchical porous structure,MOF composite,Size exclusion at sub-nanometer scale via a hierarchical porous structure composed of microporous UiO-66-NH2 and mesoporous SiO2 shell.,66 kDa,Size exclusion at mesoporous channels,10.1016_j.talanta.2021.123193.json,Simulated biological samples with IgG and BSA mixtures,Not Applicable,"Large proteins like BSA are excluded by the mesoporous silica shell, enhancing selectivity for glycopeptides.",,,,,,,,
HP-MOF-Arg@mSiO2,immunoglobulin G (IgG),No,"1.5 nm (micropores), 3.7 nm (mesopores)",Hierarchical porous structure,MOF composite,Size exclusion at sub-nanometer scale via a hierarchical porous structure composed of microporous UiO-66-NH2 and mesoporous SiO2 shell.,150 kDa,Size exclusion at mesoporous channels,10.1016_j.talanta.2021.123193.json,Simulated biological samples with IgG and BSA mixtures,Not Applicable,High-abundance proteins such as IgG are effectively excluded due to the size-exclusion effect of the mesoporous channels.,,,,,,,,
HPM membrane,hydrogen,Yes,"3.4 Å (ZIF-8 window), 0.8 nm (cavity in linker-mixed 3DS phase)",2D lamellar and 3D sodalite phases,MOF membrane,Size exclusion at sub-nanometer scale due to narrow transport pathways in the 3DS phase and suppressed framework flexibility,2.89 Å,Size exclusion at sub-nanometer scale,10.1002-smll.202205542.json,"25 °C, 100 kPa",Not Applicable,H2 permeance reaches 3.9 × 10^-7 mol m^-2 s^-1 Pa^-1 (1176 GPU),,,,,,,,
HPM membrane,carbon dioxide,No,"3.4 Å (ZIF-8 window), 0.8 nm (cavity in linker-mixed 3DS phase)",2D lamellar and 3D sodalite phases,MOF membrane,Size exclusion at sub-nanometer scale due to narrow transport pathways in the 3DS phase and suppressed framework flexibility,3.3 Å,Size exclusion at sub-nanometer scale,10.1002-smll.202205542.json,"25 °C, 100 kPa",Not Applicable,H2/CO2 selectivity averages 327,,,,,,,,
HPM membrane,oxygen,No,"3.4 Å (ZIF-8 window), 0.8 nm (cavity in linker-mixed 3DS phase)",2D lamellar and 3D sodalite phases,MOF membrane,Size exclusion at sub-nanometer scale due to narrow transport pathways in the 3DS phase and suppressed framework flexibility,3.46 Å,Size exclusion at sub-nanometer scale,10.1002-smll.202205542.json,"25 °C, 100 kPa",Not Applicable,H2/O2 selectivity averages 414,,,,,,,,
HPM membrane,nitrogen,No,"3.4 Å (ZIF-8 window), 0.8 nm (cavity in linker-mixed 3DS phase)",2D lamellar and 3D sodalite phases,MOF membrane,Size exclusion at sub-nanometer scale due to narrow transport pathways in the 3DS phase and suppressed framework flexibility,3.64 Å,Size exclusion at sub-nanometer scale,10.1002-smll.202205542.json,"25 °C, 100 kPa",Not Applicable,H2/N2 selectivity averages 470,,,,,,,,
HPM membrane,methane,No,"3.4 Å (ZIF-8 window), 0.8 nm (cavity in linker-mixed 3DS phase)",2D lamellar and 3D sodalite phases,MOF membrane,Size exclusion at sub-nanometer scale due to narrow transport pathways in the 3DS phase and suppressed framework flexibility,3.8 Å,Size exclusion at sub-nanometer scale,10.1002-smll.202205542.json,"25 °C, 100 kPa",Not Applicable,H2/CH4 selectivity averages 522,,,,,,,,
HPF-5,carbon dioxide,Yes,5.3 Å (NLDFT Carbon model),"Hierarchical, ultra-microporous to microporous",Other,Polarizing environment provided by phenolic -OH groups and carbonyl moieties,0.33 nm,Moderate interactions with framework functional groups,10.1039-c7ta01979c_1747626645834221_nandi2017.json,"298 K, up to 35 bar",Not Applicable,High CO2 uptake (12.5 mmol/g at 35 bar),,,,,,,,
HPF-5,hydrogen,No,5.3 Å (NLDFT Carbon model),"Hierarchical, ultra-microporous to microporous",Other,Polarizing environment provided by phenolic -OH groups and carbonyl moieties,0.29 nm,Size exclusion and lack of strong polarizing interactions,10.1039-c7ta01979c_1747626645834221_nandi2017.json,"298 K, up to 35 bar",Not Applicable,Negligible H2 uptake due to absence of strong polarizing groups,,,,,,,,
HPF-4,carbon dioxide,Yes,13.4 Å (NLDFT Carbon model),"Hierarchical, ultra-microporous to microporous",Other,"Polarizing environment provided by phenolic -OH groups, triazine rings, and carbonyl moieties",0.33 nm,Moderate interactions with framework functional groups,10.1039-c7ta01979c_1747626645834221_nandi2017.json,"298 K, up to 35 bar",Not Applicable,Record-high CO2 uptake (14.7 mmol/g at 35 bar) and working capacity (~6.8 mmol/g for 10-1 bar swing),,,,,,,,
HPF-4,hydrogen,No,13.4 Å (NLDFT Carbon model),"Hierarchical, ultra-microporous to microporous",Other,"Polarizing environment provided by phenolic -OH groups, triazine rings, and carbonyl moieties",0.29 nm,Size exclusion and lack of strong polarizing interactions,10.1039-c7ta01979c_1747626645834221_nandi2017.json,"298 K, up to 35 bar",Not Applicable,Negligible H2 uptake due to absence of strong polarizing groups,,,,,,,,
HPF-3,carbon dioxide,Yes,6.5 Å (NLDFT Carbon model),"Hierarchical, ultra-microporous to microporous",Other,"Polarizing environment provided by phenolic -OH groups, triazine rings, and carbonyl moieties",0.33 nm,Moderate interactions with framework functional groups,10.1039-c7ta01979c_1747626645834221_nandi2017.json,"298 K, up to 35 bar",Not Applicable,High CO2 uptake observed (15 mmol/g at 35 bar),,,,,,,,
HPF-3,hydrogen,No,6.5 Å (NLDFT Carbon model),"Hierarchical, ultra-microporous to microporous",Other,"Polarizing environment provided by phenolic -OH groups, triazine rings, and carbonyl moieties",0.29 nm,Size exclusion and lack of strong polarizing interactions,10.1039-c7ta01979c_1747626645834221_nandi2017.json,"298 K, up to 35 bar",Not Applicable,Negligible H2 uptake due to absence of strong polarizing groups,,,,,,,,
Homo-chiral L-POST-1,"[Ru(2,20-bipyridyl)3]Cl2",Yes,Not Reported,2D layer with chiral 1D channels,MOFs,Enantioselective separation via chemical mechanism,Not Reported,Chemical adsorption and enantioselective separation,10.1039-c0sc00144a_1747625844070566_cychosz2010.json,Not Reported,Not Applicable,"80% proton exchange in channels, 66% enantiomeric excess obtained.",,,,,,,,
HOMMS@TiO2,phosphopeptides,Yes,Not Reported,Not Reported,Other,Size exclusion at sub-nanometer scale,Not Reported,Size exclusion,10.1016-j.trac.2019.115658_1747626542037783_li2019.json,Not Reported,Not Applicable,Detection limit estimated to be as low as 8 fmol.,,,,,,,,
HOMMS@Poly VPBA,glycopeptides,Yes,Not Reported,Not Reported,Other,Not Reported,Not Reported,Reversible covalent bond formation,10.1016-j.trac.2019.115658_1747626542037783_li2019.json,Not Reported,Not Applicable,Remarkable selectivity (1:50) and low detection limits (1 ng/mL).,,,,,,,,
HOF-102,cytochrome c,Yes,2.5 x 3.0 nm,Not Reported,Other,Not Reported,3.6 x 2.4 x 2.2 nm,Size exclusion,d1cs01011e.json,Not Reported,Not Applicable,Loading capacity measured to be approximately 30 wt%.,,,,,,,,
HNUST-1,carbon dioxide,Yes,6 × 8 Å,Not Reported,MOFs,Not Reported,3.3 Å,Chemical adsorption via open metal sites and ligand interaction,10.1021-acssuschemeng.0c05155_1747625285029910_10.1021@acssuschemeng.0c05155.json,"273 K, 1 bar",Not Applicable,Higher CO2 uptake compared to NJU-Bai3 due to smaller pore sizes.,,,,,,,,
HMIL-101,proton,Yes,Not Reported,hollow core-shell structure,MOF composite,Size exclusion at sub-nanometer scale,Not Reported,Grotthuss and vehicle mechanisms,10.1016_j.memsci.2024.123607.json,"98% RH, various temperatures",Not Applicable,The hollow cavity facilitates nearly resistance-free diffusion.,,,,,,,,
HMIL-101,sodium anthraquinone-2-sulfonate,No,Not Reported,hollow core-shell structure,MOF composite,Size exclusion at sub-nanometer scale,less than 2 nm,Size exclusion,10.1016_j.memsci.2024.123607.json,aqueous environment,Not Applicable,The lattice-perfect shell acts as a physical barrier against electrolyte diffusion.,,,,,,,,
HMIL-101,"1,2-dihydroxybenzene-3,5-disulfonic acid disodium salt monohydrate",No,Not Reported,hollow core-shell structure,MOF composite,Size exclusion at sub-nanometer scale,less than 2 nm,Size exclusion,10.1016_j.memsci.2024.123607.json,aqueous environment,Not Applicable,The lattice-perfect shell acts as a physical barrier against electrolyte diffusion.,,,,,,,,
H-mag,benzoic acid,No,Not Reported,interlayer spaces only,Other,Not Reported,Not Reported,Not Reported,10.1021-acsami.4c08841.json,"acetonitrile solution, room temperature",Not Applicable,H-mag does not adsorb benzoic acid effectively; basal spacing increases gradually.,,,,,,,,
